id,ingri,price,subscribe,bigcat,smallcat,imageurl,quantity,keyword
97,친환경 향표고버섯 200g,"5,490원",촘촘한 결에 담긴 짙은 풍미,채소,,https://img-cf.kurly.com/shop/data/goods/1617609924579l0.jpg,200g,향표고버섯
98,깐 생강 20g,"1,000원",손질이 필요 없는 식재료,채소,,https://img-cf.kurly.com/shop/data/goods/161422031394l0.jpg,20g,생강
99,친환경 GAP 생목이버섯 180g,"3,290원",탱글탱글 씹는 재미 가득,채소,,https://img-cf.kurly.com/shop/data/goods/1617684486992l0.jpg,180g,생목이버섯
100,친환경 GAP 머쉬마루 버섯 460g,"3,090원",쫄깃함에 더해진 은은한 단맛,채소,,https://img-cf.kurly.com/shop/data/goods/1617604378260l0.jpg,460g,버섯
101,[연꽃마을] 우엉차 50g,"8,900원",마실수록 끌리는 구수한 맛의 우엉차,채소,,https://img-cf.kurly.com/shop/data/goods/big/201510/517_shop1_235548.jpg,50g,우엉차
102,국내산 세척당근 1kg,"3,290원",간편하게 활용하는 세척당근,채소,,https://img-cf.kurly.com/shop/data/goods/1617698739808l0.jpg,1kg,세척당근
103,친환경 햇 통마늘 800g,"9,990원",깨끗하게 재배한 통통한 마늘,채소,,https://img-cf.kurly.com/shop/data/goods/1617761949103l0.jpg,800g,통마늘
104,깐 감자 1입 150g,"1,990원",요리에 바로 더하는 손질 감자,채소,,https://img-cf.kurly.com/shop/data/goods/1614228571675l0.jpg,150g,감자
105,무럭무럭 팽이버섯 키트,"8,990원",집에서 도전하는 버섯 키우기,채소,,https://img-cf.kurly.com/shop/data/goods/1615281882772l0.jpg,,팽이버섯
106,데친 고사리 200g,"4,774원",간편하게 만드는 나물 반찬,채소,,https://img-cf.kurly.com/shop/data/goods/1615186729326l0.jpg,200g,고사리
107,달여먹는 약도라지 200g,"3,790원",반찬으로도 활용하기 좋은 잔뿌리 가득 담긴 영양,채소,,https://img-cf.kurly.com/shop/data/goods/161518547228l0.jpg,200g,약도라지
108,더덕 300g,"8,490원",신선하게 즐기는 영양 가득 나물,채소,,https://img-cf.kurly.com/shop/data/goods/1615179098768l0.jpg,300g,더덕
109,컬리플라워 라이스 1kg,"7,800원",넉넉히 두고 즐기는 이색 라이스,채소,,https://img-cf.kurly.com/shop/data/goods/1613378083970l0.jpg,1kg,쌀
110,[피그인더가든] 프레쉬믹스 베이직샐러드,"1,980원",간편하게 즐기는 알록달록 샐러드,채소,,https://img-cf.kurly.com/shop/data/goods/160386748027l0.jpg,,샐러드
111,[피그인더가든] 데일리믹스 베이직샐러드,"1,980원",손질이 필요없는 간편함,채소,,https://img-cf.kurly.com/shop/data/goods/1603867173353l0.jpg,,샐러드
112,[피그인더가든] 가든믹스 베이직샐러드,"1,980원",케일과 로메인을 더한 간편 샐러드,채소,,https://img-cf.kurly.com/shop/data/goods/1608612931924l0.jpg,,샐러드
113,무농약 고구마로 만든 부드러운 달구마,"2,800원",바로 꺼내 먹는 간편한 삶은 고구마,채소,,https://img-cf.kurly.com/shop/data/goods/1630890621504l0.jpg,,달구마
114,[풀무원] 다진마늘 2종,"3,580원",간편하게 사용하는 다진마늘,채소,,https://img-cf.kurly.com/shop/data/goods/1586740004415l0.jpg,2종,다진마늘
115,[하선정] 다진마늘 2종,"4,700원","요리의 맛을 한층 깊게 만드는 다진마늘! -소용량, 대용량-",채소,,https://img-cf.kurly.com/shop/data/goods/1567746183456l0.jpg,2종,다진마늘
116,[피그인더가든] 데일리믹스 샐러드키트 6봉,"8,900원","샐러드의 기본, 드레싱까지 함께 있는 샐러드 키트",채소,,https://img-cf.kurly.com/shop/data/goods/1569398408792l0.jpg,6봉,샐러드
