,name,ingridient
124,브로콜리베이컨말이,['브로콜리' '베이컨' '채소' '머스타드' '케첩']
125,맑은대구탕,['생대구' '다시마' '가쓰오브시' '미나리' '청고추' '홍고추' '마늘' '소금' '팽이버섯' '두부']
126,미역수제비,['닭고기' '마늘' '대파' '생강' '미역' '밀가루' '깨소금' '후춧가루' '국간장' '설탕' '다진파' '다진마늘' '소금']
127,양파쌈파이,['설탕' '계핏가루' '양파' '만두피' '식용유' '물']
128,라조기,"['닭' '간장' '계란' '녹말' '튀김가루' '마늘' '참기름' '마른고추' '표고버섯' '피망' '고춧기름' '청주' '육수'
 '대파']"
129,단호박구이,['단호박' '황설탕' '후춧가루' '소금' '버터']
130,돼지불고기,['돼지고기' '고추장' '고춧가루' '간장' '미림' '후춧가루' '다진마늘' '설탕' '물엿' '깨소금' '참기름' '다진파']
131,녹두죽,['녹두' '쌀' '설탕' '소금' '물']
132,간장게장,['꽃게' '간장' '물' '생강' '마늘' '청고추' '설탕' '채썬마늘' '채썬생강' '고춧가루' '참기름' '깨소금' '다진파']
133,해물샤브샤브,"['맛조개' '새우' '당근' '팽이버섯' '표고버섯' '미나리' '곤약' '다시마' '가쓰오브시' '소금' '청주' '폰즈소스'
 '와사비소스' '깨소스' '낙지']"
134,불고기꽃만두,"['밀가루' '쇠고기' '간장' '설탕' '참기름' '깨소금' '케첩' '양파' '튀김기름' '계란' '치자' '마늘' '피망'
 '후춧가루']"
135,쟁반라면,"['라면' '겨자' '계란' '꽃상추' '깻잎' '치커리' '양파' '고추장' '간장' '식초' '설탕' '깨소금' '후춧가루'
 '마늘' '쇠고기']"
136,부추잡채,"['부추' '돼지고기' '양파' '청고추' '다진마늘' '홍고추' '청정원굴소스' '소금' '참기름' '깨소금' '식용유'
 '다진생강']"
137,오징어볶음과소면,"['오징어' '양파' '홍고추' '양배추' '당근' '고추장' '참기름' '간장' '설탕' '다진파' '다진마늘' '깨소금'
 '후춧가루' '고춧가루']"
138,참치김치찌개,['김치' '참치' '양파' '대파' '홍고추' '청고추' '두부' '고춧가루' '소금' '참기름' '팽이버섯']
139,연어오픈샌드위치,['바게트' '훈제연어' '상추' '사워크림' '땅콩버터' '체리알' '머스터드']
140,떡꼬치,['가래떡' '쇠고기' '마늘' '브로콜리' '고추장' '참기름' '설탕' '간장' '후춧가루' '깨소금' '물' '고춧가루']
141,오징어섞어찌개,"['오징어' '맛술' '모시조개' '김치' '대파' '홍고추' '쑥갓' '다진마늘' '생강' '간장' '고춧가루' '소금'
 '후춧가루' '청고추' '양파' '호박' '다진파' '두부']"
142,어묵볶음,['어묵' '양파' '피망' '마늘' '고춧가루' '김치' '설탕' '참기름' '깨소금' '식용유' '간장']
143,닭가슴살해파리샐러드,['닭' '해파리' '오이' '홍고추' '레몬' '청고추' '참기름' '간장' '설탕' '꿀' '소금' '식초']
144,골뱅이볶음,['골뱅이' '표고버섯' '양파' '청피망' '홍피망' '마늘' '대파' '진간장' '깨소금' '참기름' '설탕' '녹말']
145,가지튀김,"['가지' '참기름' '소금' '간장' '설탕' '맛술' '깨소금' '머스터드' '마요네즈' '설탕' '밀가루' '계란' '빵가루'
 '후춧가루' '돼지고기']"
146,김치홍합국,['김치' '홍합' '멸치' '물' '대파' '마늘' '고춧가루' '소금' '홍고추']
147,라조육,"['마늘' '대파' '고추기름' '간장' '청주' '육수' '녹말' '참기름' '홍고추' '계란' '다진파' '소금' '돼지고기'
 '표고버섯' '피망' '생강즙']"
148,양상추참치샐러드,['참치' '양파' '당근' '오이' '양상추' '적채' '설탕' '소금' '머스터드' '토마토케첩' '마요네즈']
149,조기찜,"['조기' '홍고추' '감자' '양파' '물' '청고추' '대파' '마늘' '고추장' '고춧가루' '참기름' '생강즙' '소금'
 '후춧가루' '무']"
150,동래파전,"['밀가루' '설탕' '계란' '실파' '쇠고기' '굴' '홍합' '조갯살' '잔새우' '다진마늘' '식용유' '다진파' '소금'
 '후춧가루' '깨소금' '참기름' '고춧가루' '식초' '쌀가루']"
151,버섯매운탕,"['표고버섯' '느타리버섯' '송이버섯' '양파' '감자' '호박' '후춧가루' '쇠고기' '칼국수' '국간장' '고춧가루' '마늘'
 '소금' '쑥갓']"
152,우묵냉채,['다진파' '우묵' '오이' '다시마' '멸치' '다진마늘' '참기름' '깨소금' '고춧가루' '설탕' '간장']
153,순두부,['흰콩' '소금' '간수' '물']
154,마파두부덮밥,"['밥' '참기름' '돼지고기' '청고추' '대파' '다진마늘' '다진생강' '두반장' '고추기름' '간장' '맛술' '녹말물'
 '설탕' '홍고추' '두부']"
155,채소영양밥,['쌀' '물' '대추' '소금' '은행' '느타리버섯' '스위트콘' '밤']
156,오징어삼겹살볶음,"['오징어' '돼지고기' '옥수수통조림' '양파' '실파' '고추장' '홍고추' '설탕' '다진마늘' '다진생강' '물엿' '참기름'
 '청고추' '미림']"
157,볶음우동,"['우동면' '후춧가루' '핫소스' '간장' '청주' '참기름' '양배추' '양파' '숙주나물' '표고버섯' '피망' '팽이버섯'
 '마늘' '햄' '죽순' '대파' '식용유' '토마토케첩' '설탕' '굴소스']"
158,돈까스덮밥,"['돼지고기' '마늘' '우유' '빵가루' '계란' '정종' '샐러리' '돈까스소스' '우스터소스' '토마토케첩' '버터' '꿀'
 '미림' '사과' '양파' '바나나' '타바스코' '겨자' '밥' '밀가루']"
159,토마토해산물스파게티,"['오징어' '바질' '홍합' '모시조개' '동태살' '꼴뚜기' '마늘' '양파' '당근' '샐러리' '스파게티' '토마토'
 '토마토페이스트' '육수' '월계수잎' '소금' '후춧가루' '올리브오일' '파마산치즈' '새우']"
160,장어계란말이,['장어' '계란' '소금' '식용유' '미림' '다시마' '설탕']
161,장어덮밥,['장어' '초생강' '산초가루' '밥' '장어뼈' '진간장' '정종' '설탕' '미림' '장어대리']
162,모듬전,"['감자' '참기름' '부추' '밀가루' '물' '소금' '식용유' '깻잎' '쇠고기' '두부' '표고버섯' '계란' '간장'
 '설탕' '다진파' '다진마늘' '양파']"
163,해초무침,['해초' '미역' '오징어' '새우' '간장' '식용유' '흰후춧가루' '양파' '당근' '사과' '마늘' '레몬' '식초']
164,꽃게해물탕,"['꽃게' '청고추' '맛살조개' '오징어' '애호박' '무' '팽이버섯' '홍고추' '대파' '고추장' '고춧가루' '마늘'
 '국간장' '생강' '소금' '후춧가루' '바지락']"
165,쇠고기버섯덮밥,['쇠고기' '느타리버섯' '표고버섯' '팽이버섯' '계란' '다시마국물' '간장' '설탕' '미림' '실파']
166,소바정식,['김' '와사비' '대파' '설탕' '조미술' '가쓰오브시국물' '메밀국수' '진간장']
167,샤브샤브,"['쇠고기' '배추' '당근' '무' '팽이버섯' '표고버섯' '쑥갓' '다시마' '국물용멸치' '대파' '가래떡' '죽순' '두부'
 '쇠고기' '물' '팽이버섯' '표고버섯' '당근' '느타리버섯' '양파' '대파' '어묵' '곤약' '무' '국수' '쑥갓'
 '다시마' '청주' '소금' '간장' '식초' '청주' '배춧잎']"
168,채소스프,['쇠고기스톡' '토마토페이스트' '버터' '당근' '파슬리가루' '샐러리' '피망' '무' '양파']
169,해산물두부수프,['게살' '새우' '두부' '흰살생선' '오징어' '미원' '육수' '계란흰자' '소금' '정종' '참기름' '전분']
170,깐풍새우,"['새우' '참기름' '계란' '식용유' '양파' '마늘' '청고추' '홍고추' '대파' '생강' '간장' '식초' '육수'
 '후춧가루' '녹말']"
171,연어알초밥,['연어알' '밥' '와사비' '소금' '식초' '설탕' '김']
172,돈부리,['미나리' '팽이버섯' '계란' '가쓰오브시국물' '미림' '설탕' '밥' '쇠고기' '양파' '간장']
173,콩나물미나리무침,['콩나물' '미나리' '고춧가루' '다진마늘' '참기름' '깨소금' '다진파' '소금']
174,만두샐러드,['냉동만두' '양상추' '오이' '양파' '마요네즈' '토마토' '머스터드' '꿀' '식초' '올리브']
175,화전,['찹쌀가루' '소금' '대추' '물' '식용유' '설탕' '쑥갓']
176,무초김치,['무' '미나리' '배' '식초' '생강' '소금' '설탕' '당근']
177,오곡주먹밥,['찹쌀' '팥' '수수' '쌀' '쇠고기' '김' '콩' '간장' '참기름' '후춧가루' '깨소금' '조' '미나리']
178,캘리포니아롤,['게살' '오이' '아보카도' '계란' '박고지' '날치알' '초생강' '통깨' '밥' '식초' '설탕' '소금' '단무지' '김']
179,삼색태극말이초밥,['소금' '김' '계란노른자' '설탕' '파슬리' '밥' '식초' '오보로']
180,그린파스타,['페투치네' '베이컨' '양파' '생크림' '계란노른자' '오레가노' '올리브오일' '소금' '흰후추' '바질' '마늘']
181,제육겨자쌈,['돼지고기' '양파' '당근' '깻잎' '대파' '설탕' '소금' '식초' '통후추' '양겨자']
182,시금치된장죽,['쌀' '시금치' '일본된장' '가쓰오브시' '쇠고기' '참기름' '다시마']
183,고구마그라탱,['고구마' '생크림' '파슬리가루' '소금' '치즈가루' '모짜렐라치즈']
184,두부두루치기,['두부' '양배추' '양파' '대파' '홍고추' '깨소금' '다진파' '다진마늘' '고춧가루' '간장' '참기름' '풋고추']
185,고등어된장조림,['고등어' '무' '대파' '다시마국물' '된장' '술' '간장' '미림' '설탕']
186,무나물,['식용유' '참기름' '깨소금' '소금' '무']
187,월남쌈,"['라이스페이퍼' '소금' '오징어' '오이' '양파' '표고버섯' '키위' '파인애플' '간장' '물' '청고추' '설탕'
 '깨소금' '다진홍고추' '당근' '식초' '쌀국수']"
188,해물스파게티,"['스파게티' '소금' '오징어' '새우' '양파' '샐러리' '양송이' '다진마늘' '홀토마토' '버터' '밀가루' '오레가노'
 '올리브오일' '파마산치즈' '토마토' '후춧가루' '홍합']"
189,단호박튀김,['단호박' '계란' '식용유' '튀김가루' '밀가루']
190,파래무침,['파래' '당근' '간장' '설탕' '식초' '참기름' '깨소금']
191,안심스테이크,['쇠고기' '당근' '감자' '오이' '밀가루' '레드와인' '육수' '우스터소스' '토마토페스트' '소금' '후춧가루' '버터']
192,해물국시,['소금' '참기름' '칼국수' '다시마' '새우' '간장' '호박' '감자' '대파' '청고추' '바지락']
193,무생채,['무' '고춧가루' '식초' '설탕' '깨소금' '참기름' '다진파' '다진마늘' '소금']
194,오징어젓갈,['오징어' '소금' '다진파' '다진마늘' '다진생강' '고춧가루']
195,꽁치구이,['꽁치' '소금' '간장' '레몬' '와사비']
